id_familia,renda_familiar,gasto_familiar,autores_trabalho
17,4500,1600,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
18,1069,353,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
19,5925,1778,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
20,2466,740,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
21,6083,2129,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
22,9712,3302,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
23,7780,2412,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
24,8383,2683,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
25,7185,2515,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
26,7483,2395,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
27,7640,2292,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
28,2100,1000,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
29,2000,600,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
30,6012,1864,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
31,8902,3027,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
32,5345,1978,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
33,8210,2791,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
34,5662,1982,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
35,2700,900,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
36,6546,1964,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
37,2900,1247,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
38,9894,3067,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
39,1500,700,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
40,5000,1500,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
41,8885,3110,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
42,8813,2644,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
43,3446,1378,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
44,7881,2601,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
45,1164,501,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
46,3401,1292,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
47,6641,2125,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
48,3329,1431,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
49,6648,2260,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
50,4800,1770,ARTHUR MAZIVIERO FARIA - RM 573928; JUN UEHARA - RM 570537; FELIPE DE SOUZA GALLO - RM 569680; ROBERSON REGUERO LUIZ JUNIOR - RM 573031; TOMMASO CONCEIÇÃO NAGLIATTI - RM 572147; MATHEUS MARTINS LACERDA - RM 570843
